pulled_at,calendar_year,date,dk_ownerships,dk_salaries,event_id,event_name,fd_ownerships,fd_salaries,tour
2026-07-13T05:31:47+00:00,2020,2020-01-12,yes,yes,6,Sony Open in Hawaii,no,no,pga
2026-07-13T05:31:47+00:00,2020,2020-01-12,no,no,2020006,South African Open hosted by the City of Johannesburg,no,no,euro
2026-07-13T05:31:47+00:00,2020,2020-01-05,yes,yes,16,Sentry Tournament of Champions,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-12-22,no,no,2020003,Australian PGA Championship,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-12-08,no,no,2020002,AFRASIA BANK Mauritius Open,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-12-07,no,no,478,Hero World Challenge,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-12-01,no,no,2020001,Alfred Dunhill Championship,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-11-24,no,no,2019095,"DP World Tour Championship, Dubai",no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-11-24,no,no,493,The RSM Classic,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-11-17,no,no,2019094,Nedbank Golf Challenge hosted by Gary Player,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-11-17,no,no,457,Mayakoba Golf Classic,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-11-10,no,no,2019093,Turkish Airlines Open,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-11-03,no,no,489,World Golf Championships-HSBC Champions,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-11-03,no,no,528,Bermuda Championship,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-10-27,no,no,527,ZOZO CHAMPIONSHIP,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-10-27,no,no,2019090,Portugal Masters,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-10-20,no,no,2019088,Amundi Open de France,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-10-20,no,no,521,THE CJ CUP @ NINE BRIDGES,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-10-13,no,no,20,Houston Open,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-10-13,no,no,2019086,Italian Open,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-10-06,no,no,2019084,Mutuactivos Open de España,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-10-06,no,no,47,Shriners Hospitals for Children Open,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-09-29,no,no,464,Safeway Open,no,no,pga
2026-07-13T05:31:47+00:00,2019,2019-09-29,no,no,2019082,Alfred Dunhill Links Championship,no,no,euro
2026-07-13T05:31:47+00:00,2019,2019-09-22,no,no,2019080,BMW PGA Championship,no,no,euro
